Property_Type,Location,Price,Price_Currency,Total_Area_m2,Covered_Area_m2,Room_number,Bathroom_number,Expenses,Expenses_Currency
Departamento,"Lanus, Lanus, Buenos Aires",64000,USD,42,38, 2, 1,3500,ARS
Departamento,"Belgrano, Capital Federal",166000,USD,90,90, 4, 1,25000,ARS
Departamento,"Villa Crespo, Capital Federal",83000,USD,65.11,40.72, 2, 1,3700,ARS
Departamento,"Palermo, Capital Federal",99000,USD,49.12,49.12, 2, 1,10000,ARS
Departamento,"San Cristobal, Capital Federal",139000,USD,78,55, 3, 1,22000,ARS
Departamento,"Monserrat, Capital Federal",49000,USD,24.9,24.9, 1, 1,N/A,N/A
Departamento,"Lomas De Zamora, Lomas De Zamora, Buenos Aires",525000,USD,180,172, 5, 4,70000,ARS
Departamento,"Caballito, Capital Federal",75000,USD,38,32, 1, 1,N/A,N/A
Departamento,"Ramos Mejia, La Matanza, Buenos Aires",140000,USD,46.89,42.24, 2, 1,20000,ARS
Departamento,"Haedo, Moron, Buenos Aires",99900,USD,69,66, 3, 1,N/A,N/A
Departamento,"Monserrat, Capital Federal",114900,USD,82,76,N/A,N/A,N/A,N/A
Departamento,"Ramos Mejia, La Matanza, Buenos Aires",140000,USD,49.05,42.58, 2, 1,20600,ARS
Departamento,"Parque Avellaneda, Capital Federal",75000,USD,69,69, 3, 1,16000,ARS
Departamento,"Colegiales, Capital Federal",66500,USD,60.49,51.42, 2, 1,N/A,N/A
Departamento,"Colegiales, Capital Federal",68422,USD,88.99,75.31, 3, 1,N/A,N/A
Departamento,"Moron, Moron, Buenos Aires",39900,USD,40,35, 1, 1,4000,ARS
Departamento,"Balvanera, Capital Federal",52000,USD,36.57,33.07, 2, 1,9000,ARS
Departamento,"Colegiales, Capital Federal",150718,USD,73.34,59.76, 3, 1,N/A,N/A
Departamento,"Colegiales, Capital Federal",133919,USD,60.49,51.42, 2, 1,N/A,N/A
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",57000,USD,43,40, 2, 1,3000,
Departamento,"Crucesita, Avellaneda, Buenos Aires",39000,USD,56,51, 3, 1,7000,ARS
Departamento,"Cipolletti, General Roca,",20000,USD,61,61, 4, 1,2500,ARS
Departamento,"Colegiales, Capital Federal",49580,USD,73.34,59.76, 3, 1,N/A,N/A
Departamento,"Colegiales, Capital Federal",119900,USD,73.34,59.76, 3, 1,N/A,N/A
Departamento,"Flores, Capital Federal",67000,USD,38,36, 1, 1,3500,ARS
Departamento,"Caballito, Capital Federal",130000,USD,69.09,69.09, 3, 1,13000,ARS
Departamento,"Chacarita, Capital Federal",65000,USD,42,42, 2, 1,7000,ARS
Departamento,"Flores, Capital Federal",67000,USD,38,36, 1, 1,3500,ARS
Departamento,"Nuevo Quilmes, Quilmes, Quilmes, Buenos Aires",178000,USD,50,45, 2, 1,38000,ARS
Departamento,"Villa Del Parque, Capital Federal",76000,USD,49.57,45.4, 2, 1,8000,ARS
Departamento,"Victoria, San Fernando, Buenos Aires",99000,USD,64.9,55, 2, 1,N/A,N/A
Departamento,"Nueva Cordoba, Cordoba, Capital,",380000,USD,245,245, 8, 2,50000,ARS
Departamento,"Adrogue, Almirante Brown, Buenos Aires",120000,USD,61.88,59.06, 2, 1,N/A,N/A
Departamento,"Caseros, Tres De Febrero, Buenos Aires",66000,USD,61.26,57.36, 3, 1,N/A,N/A
Departamento,"Villa Luro, Capital Federal",89900,USD,56.38,54.46, 3, 1,3000,ARS
Departamento,"Caballito, Capital Federal",105000,USD,62.5,58, 3, 1,4500,ARS
Departamento,"Nuevo Quilmes, Quilmes, Quilmes, Buenos Aires",220000,USD,63,60, 2, 1,25000,ARS
Departamento,"Recoleta, Capital Federal",185000,USD,90,90, 4, 1,20000,ARS
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires",95000,USD,46.5,42, 2, 1,12260,ARS
Departamento,"Monte Castro, Capital Federal",159000,USD,91.31,85, 4, 1,19000,ARS
Departamento,"Palermo, Capital Federal",115000,USD,76.24,70.24, 4, 2,13000,ARS
Departamento,"Parque Avellaneda, Capital Federal",89000,USD,57.38,54.88, 3, 1,12000,ARS
Departamento,"Villa Del Parque, Capital Federal",109800,USD,61,58, 2, 1,14000,ARS
Departamento,"Villa Crespo, Capital Federal",105000,USD,79,70, 3, 1,17000,ARS
Departamento,"Belgrano, Capital Federal",58742,USD,33.76,26.91, 1, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",108000,USD,58.38,40.9, 2, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",135700,USD,73.02,59.45, 3, 1,N/A,N/A
Departamento,"General Paz, Cordoba, Capital,",40000,USD,45,45, 2, 1,5000,ARS
Departamento,"Abasto, Rosario, Rosario, Santa Fe",55000,USD,50,45, 4, 1,5000,ARS
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires",150000,USD,51,47, 2, 1,19000,ARS
Departamento,"Ciudad De Tigre, Tigre, Tigre, Buenos Aires",100000,USD,53,53, 2, 1,15000,
Departamento,"Villa Luro, Capital Federal",139000,USD,102,47, 2, 1,15000,ARS
Departamento,"Palermo, Capital Federal",329000,USD,131,120, 4, 2,50000,ARS
Departamento,"Villa Luro, Capital Federal",139000,USD,102,47, 2, 1,15000,ARS
Departamento,"San Miguel, Buenos Aires",50000,USD,43,43, 2, 1,N/A,N/A
Departamento,"Centro, Rosario, Rosario, Santa Fe",50000,USD,46,43, 2, 1,4000,ARS
Departamento,"Villa Celina, La Matanza, Buenos Aires",79000,USD,60,56, 3, 1,7200,ARS
Departamento,"Centro, San Carlos De Bariloche, Bariloche,",79000,USD,29,29, 1, 1,2000,ARS
Departamento,"Nordelta Homes Ii, Nordelta, Tigre, Buenos Aires",89500,USD,46.44,46.44, 1, 1,12000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",75000,USD,65,62, 3, 1,6400,ARS
Departamento,"La Plata, La Plata, Buenos Aires",55000,USD,44,41, 2, 1,4800,ARS
Departamento,"Haedo, Moron, Buenos Aires",249000,USD,99,89, 3, 2,N/A,N/A
Departamento,"Palermo Chico, Palermo, Capital Federal",160000,USD,61,53, 3, 1,20000,ARS
Departamento,"Villa Devoto, Capital Federal",99000,USD,80,80, 4, 1,12000,ARS
Departamento,"Palermo, Capital Federal",240000,USD,82,72, 4, 1,35000,ARS
Departamento,"Cordoba, Capital,",62000,USD,72,41, 3, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",240000,USD,61,53, 2, 1,N/A,N/A
Departamento,"Palermo, Capital Federal",167900,USD,58.05,55.31, 3, 1,10000,ARS
Departamento,"Palermo, Capital Federal",165500,USD,65.5,62.5, 3, 1,N/A,N/A
Departamento,"Palermo, Capital Federal",310000,USD,76,65, 3, 1,8900,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",57000,USD,48,48, 2, 1,N/A,N/A
Departamento,"Mar De Ajo, De La Costa, Buenos Aires",20000,USD,20,20, 1, 1,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",98900,USD,46,41.5, 2, 1,1,ARS
Departamento,Capital Federal,104000,USD,40,35, 2, 1,1,ARS
Departamento,"Azcuenaga, Rosario, Rosario, Santa Fe",23000,USD,33,28, 2, 1,N/A,N/A
Departamento,"Jardin, Cordoba, Capital,",45000,USD,60,52, 3, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",65000,USD,31,31, 1, 1,10000,ARS
Departamento,"Flores, Capital Federal",138000,USD,56.3,48.47, 2, 1,N/A,N/A
Departamento,"Villa General Mitre, Capital Federal",52500,USD,32,30, 1, 1,1,ARS
Departamento,"Caballito Norte, Caballito, Capital Federal",129900,USD,70.7,62.7, 3, 1,17000,ARS
Departamento,"Colegiales, Capital Federal",360000,USD,205.22,132.94, 4, 1,26000,ARS
Departamento,"Neuquen, Confluencia,",140000,USD,80,75, 6, 1,N/A,N/A
Departamento,"Villa Crespo, Capital Federal",159000,USD,123,107, 3, 1,1500,ARS
Departamento,"Boedo, Capital Federal",38000,USD,40.74,26.75, 1, 1,5000,ARS
Departamento,"Caballito, Capital Federal",119000,USD,77,67, 4, 1,49000,ARS
Departamento,"Villa Urquiza, Capital Federal",189000,USD,68.9,60.68, 3, 2,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",169000,USD,68.9,60.68, 3, 2,N/A,N/A
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",83000,USD,54.7,46.7, 3, 1,N/A,N/A
Departamento,"Caballito, Capital Federal",75000,USD,60.51,57.23, 3, 1,13000,ARS
Departamento,"Florida, Vicente Lopez, Buenos Aires",120000,USD,47,43, 2, 1,20000,ARS
Departamento,"Palermo, Capital Federal",205000,USD,106.81,91.54, 4, 1,28750,ARS
Departamento,"Salta, Capital, Salta",35000,USD,29.23,27.23, 2, 1,3000,ARS
Departamento,"Caballito, Capital Federal  Solicitar precio",Solicitar,precio,71,69, 3, 1,18200,ARS
Departamento,"La Plata, La Plata, Buenos Aires",55000,USD,51,46, 3, 1,3000,ARS
Departamento,"San Miguel, San Miguel, Buenos Aires",40000,USD,27.7,27.7, 1, 1,14000,ARS
Departamento,"Alberdi, Cordoba, Capital,",40000,USD,115,115, 2, 2,N/A,N/A
Departamento,"Cordoba, Capital,",22500,USD,41,41, 3, 1,500,ARS
Departamento,"Villa Crespo, Capital Federal",89900,USD,57.68,53.24, 3, 1,16000,ARS
Departamento,"Balvanera, Capital Federal",57000,USD,45,45, 2, 1,6800,ARS
Departamento,"La Plata, La Plata, Buenos Aires",99000,USD,115,77, 4, 1,6000,ARS
Departamento,"Ciudadela, Tres De Febrero, Buenos Aires",50000,USD,75,63, 1, 1,250,ARS
Departamento,"San Andres, General San Martin, Buenos Aires",55000,USD,35,35, 2, 1,2500,ARS
Departamento,"Villa Ortuzar, Capital Federal",62500,USD,39.05,39.05, 2, 1,3500,ARS
Departamento,"Villa Del Parque, Capital Federal",260000,USD,122,120, 4, 2,19500,ARS
Departamento,"Lanus, Lanus, Buenos Aires",82000,USD,60,56, 2, 2,8100,ARS
Departamento,"Pichincha, Rosario, Rosario, Santa Fe",79000,USD,50,45, 2, 1,5000,ARS
Departamento,"Villa Urquiza, Capital Federal",225000,USD,113.22,99.4, 4, 2,26800,ARS
Departamento,"Ituzaingo, Ituzaingo, Buenos Aires",65300,USD,41,37.5, 2, 1,2500,ARS
Departamento,,95000,USD,44,40, 2, 1,N/A,N/A
Departamento,"San Fernando, San Fernando, Buenos Aires",110000,USD,117.95,60.71, 3, 1,6710,ARS
Departamento,"Haedo, Moron, Buenos Aires",110000,USD,54,50, 2, 1,8000,ARS
Departamento,"San Cristobal, Capital Federal",98000,USD,78.75,37.23, 3, 1,N/A,N/A
Departamento,"San Isidro, San Isidro, Buenos Aires",75000,USD,49.19,49.19, 3, 1,4000,ARS
Departamento,"Rosario, Rosario, Santa Fe",45000,USD,66.81,51.37, 3, 1,3000,ARS
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",84000,USD,52.28,39.66, 2, 1,N/A,N/A
Departamento,"Balvanera, Capital Federal",64000,USD,36,36, 1, 1,5000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",60000,USD,48,48, 2, 1,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",55000,USD,48,48, 2, 1,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",55000,USD,48,48, 2, 1,N/A,N/A
Departamento,"Palermo, Capital Federal",87000,USD,35,33, 1, 1,12000,ARS
Departamento,"Caballito, Capital Federal",205000,USD,79,75, 3, 2,35000,ARS
Departamento,"Tandil, Tandil, Buenos Aires",89000,USD,81.38,75.64, 4, 1,6000,ARS
Departamento,"Belgrano, Capital Federal",315437,USD,140.6,140.6, 4, 2,N/A,N/A
Departamento,Villa,89000,USD,54,54, 3, 1,1000,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",142500,USD,95,87, 3, 2,N/A,N/A
Departamento,"City Bell, La Plata, Buenos Aires",95000,USD,102.5,65.5, 3, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",219300,USD,91.56,91.56, 3, 2,N/A,N/A
Departamento,"Belgrano, Capital Federal",129000,USD,56,56, 2, 1,N/A,N/A
Departamento,"Stella Maris, Mar Del Plata, General Pueyrredon, Buenos Aires",42500,USD,34.98,28.38, 1, 1,5500,ARS
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",80000,USD,46,46, 2, 1,6000,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",87000,USD,57.7,51, 2, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",126456,USD,56.59,56.59, 2, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",119000,USD,82,73, 3, 1,12000,ARS
Departamento,"Palermo, Capital Federal",172500,USD,64,57, 2, 1,N/A,N/A
Departamento,"Arroyito, Rosario, Rosario, Santa Fe",52000,USD,41,32, 2, 1,N/A,N/A
Departamento,"Banfield, Lomas De Zamora, Buenos Aires",119000,USD,59,57, 3, 1,N/A,N/A
Departamento,"Almagro, Capital Federal",135000,USD,70.11,61.08, 3, 1,11000,ARS
Departamento,"Monserrat, Capital Federal",41000,USD,32.2,32.2, 2, 1,13500,ARS
Departamento,"La Plata, La Plata, Buenos Aires",105000,USD,108,108, 6, 1,13500,ARS
Departamento,"Villa Urquiza, Capital Federal",109900,USD,55,49, 3, 1,4500,ARS
Departamento,"Balvanera, Capital Federal",51000,USD,31,31, 2, 1,5700,ARS
Departamento,"Villa Urquiza, Capital Federal",117000,USD,64,58, 2, 1,N/A,N/A
Departamento,"Caseros, Tres De Febrero, Buenos Aires",45000,USD,102,44, 2, 1,N/A,N/A
Departamento,"Villa Del Parque, Capital Federal",65000,USD,37.69,33.4, 1, 1,6000,ARS
Departamento,"Villa Del Parque, Capital Federal",87062,USD,49.75,42.2, 2, 1,6000,ARS
Departamento,"Recoleta, Capital Federal",39500,USD,19.3,19.3, 1, 1,7500,ARS
Departamento,"Caseros, Tres De Febrero, Buenos Aires",48000,USD,46.13,36.33, 2, 1,5300,ARS
Departamento,"Ramos Mejia, La Matanza, Buenos Aires",51000,USD,42,42, 2, 1,5000,ARS
Departamento,"Olivos, Vicente Lopez, Buenos Aires",135000,USD,102,52, 3, 2,9000,ARS
Departamento,"Villa Ortuzar, Capital Federal",114000,USD,44,36, 1, 1,5100,ARS
Departamento,"Villa Ortuzar, Capital Federal",87000,USD,44,36, 1, 1,4700,ARS
Departamento,"Moron, Moron, Buenos Aires",31000,USD,58,23, 1, 1,2000,ARS
Departamento,"Monserrat, Capital Federal",75000,USD,57.5,57.5, 3, 1,N/A,N/A
Departamento,San,49000,USD,33,33, 2, 1,8000,ARS
Departamento,"San Justo, San Justo, Santa Fe",38000,USD,64,58, 3, 1,N/A,N/A
Departamento,"San Isidro, San Isidro, Buenos Aires",69000,USD,33.5,33.5, 2, 1,4000,ARS
Departamento,"Haedo, Moron, Buenos Aires",79000,USD,47,45, 2, 1,6000,ARS
Departamento,"Maipu, Maipu, Mendoza",36000,USD,75,70, 2, 1,N/A,N/A
Departamento,"Recoleta, Capital Federal",118000,USD,62,61, 2, 1,13000,ARS
Departamento,Nordelta,590000,USD,185,156, 3, 2,38000,ARS
Departamento,"Monserrat, Capital Federal",69000,USD,52.2,50, 3, 1,11000,ARS
Departamento,"Balvanera, Capital Federal",35999,USD,19.74,19.74, 1, 1,5500,ARS
Departamento,"Villa Del Parque, Capital Federal",150000,USD,68,60, 3, 1,3500,ARS
Departamento,"Neuquen, Confluencia,",123500,USD,65,65, 2, 1,N/A,N/A
Departamento,"Neuquen, Confluencia,",252000,USD,126,126, 3, 2,N/A,N/A
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires",158000,USD,63,59, 3, 1,15000,ARS
Departamento,"Palermo Soho, Palermo, Capital Federal",120000,USD,102,100, 4, 1,3474,ARS
Departamento,"Puerto Madero, Capital Federal",790000,USD,181,146, 5, 3,45000,ARS
Departamento,"La Paternal, Capital Federal",90000,USD,82.7,81, 4, 1,7000,ARS
Departamento,"Monte Hermoso, Monte Hermoso, Buenos Aires",115000,USD,90,78, 5, 2,3,ARS
Departamento,,300000,USD,128,113, 4, 2,N/A,N/A
Departamento,,182000,USD,83,70, 3, 2,N/A,N/A
Departamento,"Belgrano, Capital Federal",124900,USD,72.22,65, 3, 1,8000,ARS
Departamento,"Congreso, Capital Federal",112000,USD,83.81,66.02, 3, 1,8263,ARS
Departamento,"Villa Luro, Capital Federal",95000,USD,54,54, 3, 1,6000,ARS
Departamento,"La Paternal, Capital Federal",83000,USD,58.15,51, 3, 1,5700,ARS
Departamento,"Belgrano, Capital Federal",228000,USD,115,100, 4, 2,38000,ARS
Departamento,"Remedios De Escalada, Lanus, Buenos Aires",79000,USD,66,58, 3, 1,8500,ARS
Departamento,"Caballito, Capital Federal",85000,USD,55.54,54.16, 2, 1,6000,ARS
Departamento,"Villa Del Parque, Capital Federal",105500,USD,44,36, 2, 1,8000,ARS
Departamento,"Quilmes, Quilmes, Buenos Aires",279900,USD,141,118, 4, 2,41172,ARS
Departamento,"Martin, Rosario, Rosario, Santa Fe",199000,USD,126,81, 4, 2,33000,ARS
Departamento,"Recoleta, Capital Federal",104000,USD,47.62,33.48, 1, 1,6525,ARS
Departamento,Capital Federal,115000,USD,59,55, 3, 1,9800,ARS
Departamento,"La Plata, La Plata, Buenos Aires",55000,USD,49.5,45.5, 2, 1,4500,ARS
Departamento,"La Plata, La Plata, Buenos Aires",52000,USD,30.88,26.2, 1, 1,5000,ARS
Departamento,"Candioti, Santa Fe, Santa Fe Capital, Santa Fe",89000,USD,93,90, 5, 2,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",55000,USD,38,35, 1, 1,N/A,N/A
Departamento,"Lomas De Zamora, Lomas De Zamora, Buenos Aires",51000,USD,32,30, 2, 1,7000,ARS
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",349000,USD,140.47,116.9, 4, 3,30000,ARS
Departamento,"Neuquen, Confluencia,",79000,USD,51.9,48, 2, 1,N/A,N/A
Departamento,"Ciudad De Tigre, Tigre, Tigre, Buenos Aires",50000,USD,27,24, 1, 1,N/A,N/A
Departamento,"Velez Sarsfield, Capital Federal",149900,USD,91.66,43.95, 2, 1,12000,ARS
Departamento,"Florida, Vicente Lopez, Buenos Aires",105000,USD,66,60, 3, 1,16000,ARS
Departamento,"Villa Devoto, Capital Federal",199000,USD,80.91,61.22, 3, 1,5000,ARS
Departamento,"Belgrano, Capital Federal",89000,USD,33,33, 1, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",115000,USD,50.17,50.17, 3, 1,N/A,N/A
Departamento,"Merlo, Merlo, Buenos Aires",75000,USD,56,46, 2, 1,N/A,N/A
Departamento,"Entre Boulevares, Santa Fe, Santa Fe Capital, Santa Fe",75000,USD,67,55, 3, 1,4000,ARS
Departamento,"Villa Urquiza, Capital Federal",190000,USD,81,81, 4, 2,25000,ARS
Departamento,"Berisso, Berisso, Buenos Aires",17000,USD,24,24, 2, 1,N/A,N/A
Departamento,"Palermo, Capital Federal",115000,USD,67.5,62, 3, 1,8000,ARS
Departamento,"Villa Urquiza, Capital Federal",159900,USD,53.53,47.14, 2, 2,10000,ARS
Departamento,"Ciudad Madero, La Matanza, Buenos Aires",64000,USD,37,34, 2, 1,N/A,N/A
Departamento,"Moron, Moron, Buenos Aires",68000,USD,45,45, 2, 1,5300,ARS
Departamento,Capital Federal,55000,USD,72,70, 3, 1,4000,ARS
Departamento,"Almagro, Capital Federal",120000,USD,84,78.5, 4, 2,N/A,N/A
Departamento,"Barracas, Capital Federal",147000,USD,65,59, 2, 1,28000,ARS
Departamento,"Monserrat, Capital Federal",54900,USD,49,29, 2, 1,N/A,N/A
Departamento,"Balvanera, Capital Federal",120000,USD,153,125, 4, 1,25000,ARS
Departamento,"Lourdes, Rosario, Rosario, Santa Fe",96000,USD,62,55, 2, 1,N/A,N/A
Departamento,"Caballito, Capital Federal",95000,USD,40,40, 1, 1,N/A,N/A
Departamento,"Caballito, Capital Federal",115000,USD,60.74,53.9, 3, 2,18000,ARS
Departamento,"Bella Vista, Rosario, Rosario, Santa Fe",30000,USD,30,27, 1, 1,5000,ARS
Departamento,"Almagro, Capital Federal",69000,USD,33,30, 1, 1,8000,ARS
Departamento,"Caballito, Capital Federal",145000,USD,95,87, 4, 1,15000,ARS
Departamento,"Nueva Cordoba, Cordoba, Capital,",85000,USD,56,52, 2, 2,13000,ARS
Departamento,Villa,89500,USD,53.01,45.15, 2, 1,9000,ARS
Departamento,"Ciudad Evita, La Matanza, Buenos Aires",125000,USD,59.98,56.41, 3, 1,N/A,N/A
Departamento,Capital Federal,298000,USD,101.75,85.03, 3, 2,60000,ARS
Departamento,"Villa Urquiza, Capital Federal",155000,USD,67,63, 3, 1,13500,ARS
Departamento,"Maipu, Maipu, Mendoza",36000,USD,55,40, 4, 1,N/A,N/A
Departamento,"General Paz, Cordoba, Capital,",61500,USD,48,48, 4, 1,9500,ARS
Departamento,"San Isidro, San Isidro, Buenos Aires",164000,USD,78,68, 3, 1,8900,ARS
Departamento,Capital Federal,129000,USD,66,63, 3, 1,7000,ARS
Departamento,"Balvanera, Capital Federal",149900,USD,90,87.2, 4, 1,N/A,N/A
Departamento,"Godoy Cruz, Godoy Cruz, Mendoza",33000,USD,45,43, 2, 1,1750,ARS
Departamento,"Villa Urquiza, Capital Federal",69000,USD,34,30, 1, 1,N/A,N/A
Departamento,"General Paz, Cordoba, Capital,",179900,USD,188,185,N/A, 3,35000,ARS
Departamento,"Haedo, Moron, Buenos Aires",88000,USD,54,50, 2, 1,8000,ARS
Departamento,"Esperanza, Las Colonias, Santa Fe  Solicitar precio",Solicitar,precio,64.47,43.16, 2, 1,1500,ARS
Departamento,"Retiro, Capital Federal",125000,USD,47.83,42.7, 2, 1,13000,ARS
Departamento,"Villa Del Parque, Capital Federal",398000,USD,198,188, 7, 4,42400,ARS
Departamento,"Abasto, Rosario, Rosario, Santa Fe",78000,USD,52.4,46.5, 2, 1,6300,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",340000,USD,107,100, 4, 2,30000,ARS
Departamento,"Palermo, Capital Federal",520000,USD,254,175, 5, 3,70000,ARS
Departamento,"Zona Centro, Salta, Capital, Salta",30000,USD,70.11,62.61, 4, 1,500,ARS
Departamento,"Villa Lugano, Capital Federal",49900,USD,60,57, 3, 1,12400,ARS
Departamento,"Almagro, Capital Federal",82000,USD,86.33,86.33, 3, 1,12000,ARS
Departamento,"Flores, Capital Federal",84900,USD,55,49, 2, 1,5000,ARS
Departamento,"Villa Luzuriaga, La Matanza, Buenos Aires",35000,USD,32,32, 2, 1,1200,ARS
Departamento,"Flores, Capital Federal",189000,USD,82,73, 3, 1,N/A,N/A
Departamento,"Moron, Moron, Buenos Aires",139000,USD,106,100, 4, 2,11000,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",75000,USD,45,40, 2, 1,4000,ARS
Departamento,"Caballito, Capital Federal",86000,USD,42.5,38.5, 1, 1,N/A,N/A
Departamento,"Colegiales, Capital Federal",75900,USD,42.9,39.7, 2, 1,3533,ARS
Departamento,"Parque Patricios, Capital Federal",48000,USD,38.05,24.59, 1, 1,8000,ARS
Departamento,"Villa Crespo, Capital Federal",63000,USD,43.65,38.1, 2, 1,6500,ARS
Departamento,"Abasto, Rosario, Rosario, Santa Fe",74900,USD,62,62, 4, 1,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",58000,USD,39.35,39.35, 2, 1,1500,ARS
Departamento,"Villa Luro, Capital Federal",130000,USD,77,77, 4, 1,6000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",39000,USD,48.99,39.32, 2, 1,N/A,N/A
Departamento,"Villa Devoto, Capital Federal",350000,USD,132.25,120.12, 4, 2,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",89000,USD,36,36, 1, 1,9620,ARS
Departamento,"Caballito, Capital Federal",59900,USD,36,34, 1, 1,11500,ARS
Departamento,"Caballito, Capital Federal",129900,USD,59,57, 2, 1,10000,ARS
Departamento,"Wilde, Avellaneda, Buenos Aires",40000,USD,23,23, 1, 1,2000,ARS
Departamento,"San Cristobal, Capital Federal",68000,USD,79.82,36.72, 2, 1,6000,ARS
Departamento,"Villa Del Parque, Capital Federal",215000,USD,104,94, 4, 2,22100,ARS
Departamento,"Villa Urquiza, Capital Federal",79000,USD,37.89,31.58, 1, 1,6000,ARS
Departamento,"Villa Del Parque, Capital Federal",205000,USD,94,94, 4, 2,20500,ARS
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",85000,USD,51,47, 2, 1,N/A,N/A
Departamento,"Caseros, Tres De Febrero, Buenos Aires",69900,USD,74,70, 3, 1,4500,ARS
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",63000,USD,43,43, 2, 1,N/A,N/A
Departamento,Capital Federal,35000,USD,27,27, 2, 1,3300,ARS
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",95000,USD,61,61, 3, 1,N/A,N/A
Departamento,"San Antonio De Padua, Merlo, Buenos Aires",98000,USD,98.58,85.97, 4, 1,N/A,N/A
Departamento,"Chacarita, Capital Federal",75000,USD,34,34, 1, 1,9000,ARS
Departamento,"Palermo, Capital Federal",429000,USD,122,104, 3, 3,1,ARS
Departamento,"Monserrat, Capital Federal",103000,USD,81.19,63.19, 3, 1,13700,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",45000,USD,27.52,27.52, 1, 1,1000,ARS
Departamento,"Wilde, Avellaneda, Buenos Aires",52000,USD,44,44, 3, 1,12000,ARS
Departamento,"Villa Urquiza, Capital Federal",94000,USD,38.03,31.9, 1, 1,N/A,N/A
Departamento,"Liniers, Capital Federal",76000,USD,69.9,68.9, 3, 1,9826,ARS
Departamento,"Lanus Oeste, Lanus, Lanus, Buenos Aires",65000,USD,99,60, 2, 1,N/A,N/A
Departamento,"Villa Del Parque, Capital Federal",120000,USD,74,57, 3, 1,17500,ARS
Departamento,"Banfield, Lomas De Zamora, Buenos Aires",65000,USD,45,45, 2, 1,1200,ARS
Departamento,"Avellaneda, Avellaneda, Buenos Aires",99000,USD,51.38,51.38, 3, 1,9500,ARS
Departamento,"Caballito, Capital Federal",89000,USD,55.98,42, 2, 1,N/A,N/A
Departamento,Capital Federal,110000,USD,52,44, 2, 1,N/A,N/A
Departamento,Capital Federal,95000,USD,57,47, 2, 1,N/A,N/A
Departamento,"Villa Celina, La Matanza, Buenos Aires",48000,USD,78,61, 3, 1,N/A,N/A
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",205000,USD,167,151, 6, 2,10,ARS
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires",370000,USD,200,124, 4, 3,N/A,N/A
Departamento,"Ramos Mejia, La Matanza, Buenos Aires",38000,USD,43,38, 2, 1,N/A,N/A
Departamento,"Villa Crespo, Capital Federal",119900,USD,60,48, 2, 1,25000,ARS
Departamento,"Caballito, Capital Federal",228900,USD,110.93,75.8, 4, 2,14000,ARS
Departamento,"Abasto, Rosario, Rosario, Santa Fe",175000,USD,174,89, 4, 2,N/A,N/A
Departamento,San,55990,USD,35,35, 1, 1,7500,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",135000,USD,101,93, 4, 1,10,ARS
Departamento,"Santos Lugares, Tres De Febrero, Buenos Aires",79900,USD,56,51, 3, 1,4000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",75000,USD,64,56, 3, 1,10,ARS
Departamento,"San Cristobal, Capital Federal",52900,USD,35,30, 1, 1,4500,ARS
